fit,medium,batch,state,n,sse,wsse,rmse,weighted_rmse,mean_bias
best_multistart_07,natural,LAB012,Xd,8,0.2403380527176836,66.76057019935656,0.17332702209900927,2.888783701650155,0.1419849844119332
best_multistart_07,natural,LAB012,N,4,0.14760281992910762,421.8417829828997,0.19209556210979184,10.26939364060629,-0.15929498224074568
best_multistart_07,natural,LAB012,G,4,2807.6904785221113,449.2304765635378,26.4938222918198,10.59752891672792,-18.668076444012108
best_multistart_07,natural,LAB012,F,4,2324.496728169862,371.9194765071779,24.106517418375997,9.6426069673504,-16.93062887798257
best_multistart_07,natural,LAB012,E,4,2322.5682758386693,580.5274854924152,24.0965157016459,12.04706899511677,15.848110680285494
best_multistart_07,natural,LAB012,Gly,4,13.769846917343283,112.40691361096557,1.8553872181665532,5.301106337618724,1.370907962063711
best_multistart_07,synthetic,MS007,X,8,0.33077072314071143,40.21807092537851,0.20333799544745426,2.2421549602273956,0.1722225896361044
best_multistart_07,synthetic,MS007,Xd,9,2.870239429143208,345.7899250099714,0.5647260328044238,6.1984758432122415,-0.5151999048311477
best_multistart_07,synthetic,MS007,N,9,0.1938366950294057,654.2166847133724,0.14675629648782657,8.525886625209736,-0.12858158704000894
best_multistart_07,synthetic,MS007,G,9,1576.6833700977777,245.51567887631415,13.235824157262567,5.222979980350874,-10.725556311433932
best_multistart_07,synthetic,MS007,F,9,402.6789595511745,62.854976941656545,6.68895407495052,2.6427043585786754,-4.237315114531566
best_multistart_07,synthetic,MS007,E,4,591.0732133942352,147.7683033485588,12.155998656982437,6.077999328491218,10.491657833879877
best_multistart_07,synthetic,MS007,Gly,9,5.460001526265688,44.571441030740324,0.7788882052334232,2.225394872095495,0.5598239784826936
best_multistart_07,synthetic,MS008,X,8,0.28146542506054256,32.00509165341234,0.18757179460827209,2.0001591078403096,-0.04600207118918857
best_multistart_07,synthetic,MS008,Xd,9,1.9663293524768606,292.3848280479947,0.46741955368180266,5.6997546540569495,-0.41162495139520044
best_multistart_07,synthetic,MS008,N,9,0.08350170713756944,373.42337486561496,0.09632220647249491,6.441388522374616,-0.08365510450803797
best_multistart_07,synthetic,MS008,G,9,653.4627278542872,95.26868488233336,8.520972348364209,3.2535226188502784,-5.641838518177576
best_multistart_07,synthetic,MS008,F,9,349.5982130935896,54.589800286938726,6.23251521452517,2.462830356564458,1.1889398907362585
